2021-12-19 00:05:34.487 | DEBUG    | textprocessor:execute:20 - Processing text: This food is great
2021-12-19 00:05:34.968 | DEBUG    | textprocessor:execute:23 - Executing sentence=This food is great
2021-12-19 00:06:56.704 | INFO     | __main__:main:34 - Processing line: Baby One More Time is a song by Britney Spears

2021-12-19 00:06:56.704 | DEBUG    | textprocessor:execute:20 - Processing text: Baby One More Time is a song by Britney Spears
2021-12-19 00:06:57.358 | DEBUG    | textprocessor:execute:23 - Executing sentence=Baby One More Time is a song by Britney Spears
2021-12-19 00:06:57.359 | INFO     | __main__:main:34 - Processing line: Christmas is celebrated across the world by Chirstians

2021-12-19 00:06:57.359 | DEBUG    | textprocessor:execute:20 - Processing text: Christmas is celebrated across the world by Chirstians
2021-12-19 00:06:57.925 | DEBUG    | textprocessor:execute:23 - Executing sentence=Christmas is celebrated across the world by Chirstians
2021-12-19 00:06:57.925 | INFO     | __main__:main:34 - Processing line: Diwali is generally a time for visits, exchanging gifts, wearing new clothes, attending feasts, feeding the poor, and lighting fireworks

2021-12-19 00:06:57.925 | DEBUG    | textprocessor:execute:20 - Processing text: Diwali is generally a time for visits, exchanging gifts, wearing new clothes, attending feasts, feeding the poor, and lighting fireworks
2021-12-19 00:06:58.699 | DEBUG    | textprocessor:execute:23 - Executing sentence=Diwali is generally a time for visits, exchanging gifts, wearing new clothes, attending feasts, feeding the poor, and lighting fireworks
2021-12-19 00:06:58.699 | INFO     | __main__:main:34 - Processing line: Diwali is generally a time for visits, gifts, new clothes, feasts, feeding the poor, and lighting fireworks

2021-12-19 00:06:58.699 | DEBUG    | textprocessor:execute:20 - Processing text: Diwali is generally a time for visits, gifts, new clothes, feasts, feeding the poor, and lighting fireworks
2021-12-19 00:06:59.530 | DEBUG    | textprocessor:execute:23 - Executing sentence=Diwali is generally a time for visits, gifts, new clothes, feasts, feeding the poor, and lighting fireworks
2021-12-19 00:06:59.530 | INFO     | __main__:main:34 - Processing line: Diwali is known as the Festival of Lights

2021-12-19 00:06:59.530 | DEBUG    | textprocessor:execute:20 - Processing text: Diwali is known as the Festival of Lights
2021-12-19 00:07:00.140 | DEBUG    | textprocessor:execute:23 - Executing sentence=Diwali is known as the Festival of Lights
2021-12-19 00:07:00.140 | INFO     | __main__:main:34 - Processing line: Diwali is known as the Festival of Lights, as people light lamps in their homes and worship Godess Lakshmi

2021-12-19 00:07:00.140 | DEBUG    | textprocessor:execute:20 - Processing text: Diwali is known as the Festival of Lights, as people light lamps in their homes and worship Godess Lakshmi
2021-12-19 00:07:00.872 | DEBUG    | textprocessor:execute:23 - Executing sentence=Diwali is known as the Festival of Lights, as people light lamps in their homes and worship Godess Lakshmi
2021-12-19 00:07:00.872 | INFO     | __main__:main:34 - Processing line: Diwali is time for brand new clothes, attending feasts

2021-12-19 00:07:00.872 | DEBUG    | textprocessor:execute:20 - Processing text: Diwali is time for brand new clothes, attending feasts
2021-12-19 00:07:01.714 | DEBUG    | textprocessor:execute:23 - Executing sentence=Diwali is time for brand new clothes, attending feasts
2021-12-19 00:07:01.714 | INFO     | __main__:main:34 - Processing line: Diwali is time for extremely expensive clothes, attending feasts

2021-12-19 00:07:01.714 | DEBUG    | textprocessor:execute:20 - Processing text: Diwali is time for extremely expensive clothes, attending feasts
2021-12-19 00:07:02.340 | DEBUG    | textprocessor:execute:23 - Executing sentence=Diwali is time for extremely expensive clothes, attending feasts
2021-12-19 00:07:02.340 | INFO     | __main__:main:34 - Processing line: Donald Trump is the worst president of USA

2021-12-19 00:07:02.340 | DEBUG    | textprocessor:execute:20 - Processing text: Donald Trump is the worst president of USA
2021-12-19 00:07:02.743 | DEBUG    | textprocessor:execute:23 - Executing sentence=Donald Trump is the worst president of USA
2021-12-19 00:07:02.743 | INFO     | __main__:main:34 - Processing line: Donald Trump isn't the worst president of USA, but Hillary Clinton is better than Donald Trump

2021-12-19 00:07:02.744 | DEBUG    | textprocessor:execute:20 - Processing text: Donald Trump isn't the worst president of USA, but Hillary Clinton is better than Donald Trump
2021-12-19 00:07:03.346 | DEBUG    | textprocessor:execute:23 - Executing sentence=Donald Trump isn't the worst president of USA, but Hillary Clinton is better than Donald Trump
2021-12-19 00:07:03.347 | INFO     | __main__:main:34 - Processing line: Donald Trump isn't the worst president of USA, but Hillary Clinton is better than him

2021-12-19 00:07:03.347 | DEBUG    | textprocessor:execute:20 - Processing text: Donald Trump isn't the worst president of USA, but Hillary Clinton is better than him
2021-12-19 00:07:04.105 | DEBUG    | textprocessor:execute:23 - Executing sentence=Donald Trump isn't the worst president of USA, but Hillary Clinton is better than him
2021-12-19 00:07:04.105 | INFO     | __main__:main:34 - Processing line: Gujratis go on a shopping spree during Diwali

2021-12-19 00:07:04.106 | DEBUG    | textprocessor:execute:20 - Processing text: Gujratis go on a shopping spree during Diwali
2021-12-19 00:07:04.782 | DEBUG    | textprocessor:execute:23 - Executing sentence=Gujratis go on a shopping spree during Diwali
2021-12-19 00:07:04.782 | INFO     | __main__:main:34 - Processing line: IBM is a very large company headquartered in USA

2021-12-19 00:07:04.782 | DEBUG    | textprocessor:execute:20 - Processing text: IBM is a very large company headquartered in USA
2021-12-19 00:07:05.378 | DEBUG    | textprocessor:execute:23 - Executing sentence=IBM is a very large company headquartered in USA
2021-12-19 00:07:05.378 | INFO     | __main__:main:34 - Processing line: IBM is a very large company that is headquartered in USA

2021-12-19 00:07:05.378 | DEBUG    | textprocessor:execute:20 - Processing text: IBM is a very large company that is headquartered in USA
2021-12-19 00:07:05.986 | DEBUG    | textprocessor:execute:23 - Executing sentence=IBM is a very large company that is headquartered in USA
2021-12-19 00:07:05.986 | INFO     | __main__:main:34 - Processing line: IBM is headquartered in USA

2021-12-19 00:07:05.986 | DEBUG    | textprocessor:execute:20 - Processing text: IBM is headquartered in USA
2021-12-19 00:07:06.490 | DEBUG    | textprocessor:execute:23 - Executing sentence=IBM is headquartered in USA
2021-12-19 00:07:06.491 | INFO     | __main__:main:34 - Processing line: IBM's headquarters are in USA

2021-12-19 00:07:06.491 | DEBUG    | textprocessor:execute:20 - Processing text: IBM's headquarters are in USA
2021-12-19 00:07:06.973 | DEBUG    | textprocessor:execute:23 - Executing sentence=IBM's headquarters are in USA
